,redshift,Xe_H,Xe_He,Xe,T_matter
208,7920.0,1.0,0.0795133856495,1.15901870971,21584.725
209,7910.0,1.0,0.0795133856495,1.15901842187,21557.475
210,7900.0,1.0,0.0795133856495,1.15901812296,21530.225
211,7890.0,1.0,0.0795133856495,1.15901781253,21502.975
212,7880.0,1.0,0.0795133856495,1.1590174901,21475.725
213,7870.0,1.0,0.0795133856495,1.15901715519,21448.475
214,7860.0,1.0,0.0795133856495,1.15901680726,21421.225
215,7850.0,1.0,0.0795133856495,1.15901644579,21393.975
216,7840.0,1.0,0.0795133856495,1.15901607022,21366.725
217,7830.0,1.0,0.0795133856495,1.15901567994,21339.475
218,7820.0,1.0,0.0795133856495,1.15901527435,21312.225
219,7810.0,1.0,0.0795133856495,1.15901485281,21284.975
220,7800.0,1.0,0.0795133856495,1.15901441464,21257.725
221,7790.0,1.0,0.0795133856495,1.15901395914,21230.475
222,7780.0,1.0,0.0795133856495,1.1590134856,21203.225
223,7770.0,1.0,0.0795133856495,1.15901299322,21175.975
224,7760.0,1.0,0.0795133856495,1.15901248123,21148.725
225,7750.0,1.0,0.0795133856495,1.15901194879,21121.475
226,7740.0,1.0,0.0795133856495,1.15901139502,21094.225
227,7730.0,1.0,0.0795133856495,1.15901081901,21066.975
228,7720.0,1.0,0.0795133856495,1.15901021981,21039.725
229,7710.0,1.0,0.0795133856495,1.15900959643,21012.475
230,7700.0,1.0,0.0795133856495,1.15900894781,20985.225
231,7690.0,1.0,0.0795133856495,1.15900827287,20957.975
232,7680.0,1.0,0.0795133856495,1.15900757048,20930.725
233,7670.0,1.0,0.0795133856495,1.15900683943,20903.475
234,7660.0,1.0,0.0795133856495,1.15900607849,20876.225
235,7650.0,1.0,0.0795133856495,1.15900528635,20848.975
236,7640.0,1.0,0.0795133856495,1.15900446164,20821.725
237,7630.0,1.0,0.0795133856495,1.15900360294,20794.475
238,7620.0,1.0,0.0795133856495,1.15900270875,20767.225
239,7610.0,1.0,0.0795133856495,1.1590017775,20739.975
240,7600.0,1.0,0.0795133856495,1.15900080757,20712.725
241,7590.0,1.0,0.0795133856495,1.15899979724,20685.475
242,7580.0,1.0,0.0795133856495,1.15899874471,20658.225
243,7570.0,1.0,0.0795133856495,1.15899764811,20630.975
244,7560.0,1.0,0.0795133856495,1.15899650547,20603.725
245,7550.0,1.0,0.0795133856495,1.15899531472,20576.475
246,7540.0,1.0,0.0795133856495,1.15899407372,20549.225
247,7530.0,1.0,0.0795133856495,1.15899278019,20521.975
248,7520.0,1.0,0.0795133856495,1.15899143178,20494.725
