,redshift,Xe
326,6740.0,1.1579811161
327,6730.0,1.15792954165
328,6720.0,1.15787529465
329,6710.0,1.15781823217
330,6700.0,1.15775820363
331,6690.0,1.15769505038
332,6680.0,1.15762860534
333,6670.0,1.15755869256
334,6660.0,1.15748512676
335,6650.0,1.15740771295
336,6640.0,1.1573262459
337,6630.0,1.1572405097
338,6620.0,1.15715027728
339,6610.0,1.15705530987
340,6600.0,1.1569553565
341,6590.0,1.1568501535
342,6580.0,1.15673942397
343,6570.0,1.15662287719
344,6560.0,1.15650020817
345,6550.0,1.15637109704
346,6540.0,1.15623520855
347,6530.0,1.15609219155
348,6520.0,1.15594167847
349,6510.0,1.15578328483
350,6500.0,1.15561660879
351,6490.0,1.15544123068
352,6480.0,1.15525671265
353,6470.0,1.1550625983
354,6460.0,1.15485841239
355,6450.0,1.15464366066
356,6440.0,1.15441782966
357,6430.0,1.15418038671
358,6420.0,1.15393078002
359,6410.0,1.15366843882
360,6400.0,1.15339277376
361,6390.0,1.15310317735
362,6380.0,1.15279902469
363,6370.0,1.1524796743
364,6360.0,1.15214446925
365,6350.0,1.15179273846
366,6340.0,1.15142379832
367,6330.0,1.15103695459
368,6320.0,1.15063150455
369,6310.0,1.15020673956
370,6300.0,1.14976194792
371,6290.0,1.14929641811
372,6280.0,1.14880944244
373,6270.0,1.14830032106
374,6260.0,1.14776836646
375,6250.0,1.14721290828
376,6240.0,1.14663329864
377,6230.0,1.14602891785
378,6220.0,1.14539918051
379,6210.0,1.14474354202
380,6200.0,1.14406150546
381,6190.0,1.14335262868
382,6180.0,1.14261653184
383,6170.0,1.14185290497
384,6160.0,1.14106151576
385,6150.0,1.14024221738
386,6140.0,1.13939495622
387,6130.0,1.13851977949
388,6120.0,1.1376168425
389,6110.0,1.13668641563
390,6100.0,1.13572889059
391,6090.0,1.13474478613
392,6080.0,1.13373475284
393,6070.0,1.13269957705
394,6060.0,1.13164018349
395,6050.0,1.13055763684
396,6040.0,1.12945314183
397,6030.0,1.12832804187
398,6020.0,1.12718381622
399,6010.0,1.12602207543
400,6000.0,1.1248445552
401,5990.0,1.12365310861
402,5980.0,1.12244969671
403,5970.0,1.12123637755
404,5960.0,1.12001529381
405,5950.0,1.11878865908
406,5940.0,1.11755874298
407,5930.0,1.11632785531
408,5920.0,1.11509832955
409,5910.0,1.11387250572
410,5900.0,1.11265271309
411,5890.0,1.11144125287
412,5880.0,1.11024038118
413,5870.0,1.10905229257
414,5860.0,1.10787910431
415,5850.0,1.10672284168
